#,Name,Country,Latitude,Longitude,Other Language Names
24,Odisha,India,20.5431241,84.6897321,"""ref""=>""OR"", ""name""=>""Odisha"", ""name:ar""=>""?????"", ""name:cs""=>""Uríša"", ""name:en""=>""Odisha"", ""name:eo""=>""Oriso"", ""name:he""=>""??????"", ""name:hi""=>""?????"", ""name:hu""=>""Orisza"", ""name:ja""=>""????"", ""name:kn""=>""?????"", ""name:ml""=>""????"", ""name:or""=>""??????"", ""name:ru""=>""??????"", ""name:uk""=>""??????"", ""name:ur""=>""?????"", ""alt_name:ar""=>""??????"", ""alt_name:cs""=>""Urísa"""
25,Punjab,India,30.9293211,75.5004841,"""ref""=>""PB"", ""name""=>""Punjab"", ""name:ar""=>""???????"", ""name:cs""=>""Pa?džáb"", ""name:en""=>""Punjab"", ""name:eo""=>""Pan?abo"", ""name:fr""=>""Pendjab"", ""name:he""=>""???'??"", ""name:hi""=>""?????"", ""name:hu""=>""Pandzsáb"", ""name:ja""=>""??????"", ""name:kn""=>""??????"", ""name:ml""=>""???????"", ""name:pa""=>""?????"", ""name:ru""=>""???????"", ""name:uk""=>""???????"""
26,Rajasthan,India,26.8105777,73.7684549,"""ref""=>""RJ"", ""name""=>""Rajasthan"", ""name:ar""=>""???????"", ""name:cs""=>""Rádžasthán"", ""name:en""=>""Rajasthan"", ""name:eo""=>""Ra?astano"", ""name:he""=>""??'????"", ""name:hi""=>""????????"", ""name:hu""=>""Rádzsasztán"", ""name:ja""=>""????????"", ""name:kn""=>""????????"", ""name:ru""=>""??????????"", ""name:uk""=>""??????????"", ""name:ur""=>""????????"""
27,Samdrup Jongkhar District,India,26.8751197,91.5511211,"""name""=>""???????????????????????????"", ""name:de""=>""Samdrup Jongkhar"", ""name:en""=>""Samdrup Jongkhar District"", ""name:ja""=>""????????????"""
28,Samtse District,India,27.0352532,89.0147344,"""name""=>""????????????????"", ""name:de""=>""Samtse"", ""name:en""=>""Samtse District"", ""name:ja""=>""????"", ""name:ru""=>""?????"""
29,Tamil Nadu,India,10.9094334,78.3665347,"""ref""=>""TN"", ""name""=>""Tamil Nadu"", ""name:ar""=>""????? ????"", ""name:as""=>""?????????"", ""name:cs""=>""Tamilnádu"", ""name:el""=>""????? ??????"", ""name:en""=>""Tamil Nadu"", ""name:eo""=>""Tamilnado"", ""name:he""=>""????? ????"", ""name:hi""=>""???? ????"", ""name:hu""=>""Tamilnádu"", ""name:ja""=>""????????"", ""name:kn""=>""????? ????"", ""name:ko""=>""???? ?"", ""name:ru""=>""????????"", ""name:ta""=>""?????????"", ""name:th""=>""???????????"", ""name:uk""=>""?????????"", ""name:ur""=>""??? ????"", ""name:zh""=>""??????"""
30,Telangana,India,17.8495919,79.1151663,"""ref""=>""TG"", ""name""=>""Telangana"", ""name:cs""=>""Telangána"", ""name:en""=>""Telangana"", ""name:eo""=>""Telangano"", ""name:he""=>""??????"", ""name:hi""=>""????????"", ""name:hu""=>""Telangana"", ""name:ja""=>""??????"", ""name:kn""=>""???????"", ""name:ru""=>""?????????"", ""name:te""=>""???????"", ""name:uk""=>""?????????"""
31,Tripura,India,23.7750823,91.7025091,"""ref""=>""TR"", ""name""=>""Tripura"", ""name:bn""=>""????????"", ""name:cs""=>""Tripura"", ""name:en""=>""Tripura"", ""name:eo""=>""Tripuro"", ""name:hi""=>""????????"", ""name:hu""=>""Tripura"", ""name:ja""=>""????"", ""name:kn""=>""????????"", ""name:ru""=>""???????"", ""name:uk""=>""???????"""
32,Uttarakhand,India,30.0417376,79.089691,"""ref""=>""UT"", ""name""=>""Uttarakhand"", ""name:eo""=>""Utarakando"", ""name:he""=>""??????????"", ""name:hi""=>""??????????"", ""name:hu""=>""Uttarakhand"", ""name:kn""=>""?????????"", ""name:ml""=>""???????????"""
33,Uttar Pradesh,India,27.1303344,80.859666,"""ref""=>""UP"", ""name""=>""Uttar Pradesh"", ""name:cs""=>""Uttarpradéš"", ""name:en""=>""Uttar Pradesh"", ""name:eo""=>""Utar-Prade?o"", ""name:he""=>""???? ????"", ""name:hi""=>""????? ??????"", ""name:hu""=>""Uttar Prades"", ""name:ja""=>""???????????"", ""name:kn""=>""????? ??????"", ""name:ru""=>""?????-??????"", ""name:uk""=>""?????-??????"", ""name:ur""=>""??? ?????"""
34,West Bengal,India,22.9964948,87.6855882,"""ref""=>""WB"", ""name""=>""West Bengal"", ""name:bn""=>""??????????"", ""name:cs""=>""Západní Bengálsko"", ""name:en""=>""West Bengal"", ""name:eo""=>""Okcidenta Bengalio"", ""name:fr""=>""Bengale occidental"", ""name:he""=>""???? ????"", ""name:hi""=>""?????? ?????"", ""name:hu""=>""Nyugat-Bengál"", ""name:ja""=>""?????"", ""name:kn""=>""?????? ?????"", ""name:ru""=>""???????? ????????"", ""name:uk""=>""???????? ??????"""
